"States","Regions","Latitude","Longitude","Dates","Power_Usage","Date_Converted"
"Punjab","NR","31.519974","75.980003","02/01/2019","119.90","2019-01-02"
"Haryana","NR","28.450006","77.019991","02/01/2019","130.30","2019-01-02"
"Rajasthan","NR","26.449999","74.639981","02/01/2019","234.10","2019-01-02"
"Delhi","NR","28.669993","77.230004","02/01/2019","85.80","2019-01-02"
"UP","NR","27.599981","78.050006","02/01/2019","313.90","2019-01-02"
"Uttarakhand","NR","30.320409","78.050006","02/01/2019","40.70","2019-01-02"
"HP","NR","31.100025","77.166597","02/01/2019","30.00","2019-01-02"
"J&K","NR","33.450000","76.240000","02/01/2019","52.50","2019-01-02"
"Chandigarh","NR","30.719997","76.780006","02/01/2019","5.00","2019-01-02"
"Chhattisgarh","WR","22.090420","82.159987","02/01/2019","78.70","2019-01-02"
"Gujarat","WR","22.258700","71.192400","02/01/2019","319.50","2019-01-02"
"MP","WR","21.300391","76.130019","02/01/2019","253.00","2019-01-02"
"Maharashtra","WR","19.250232","73.160175","02/01/2019","428.60","2019-01-02"
"Goa","WR","15.491997","73.818001","02/01/2019","12.80","2019-01-02"
"DNH","WR","20.266578","73.016618","02/01/2019","18.60","2019-01-02"
"Andhra Pradesh","SR","14.750429","78.570026","02/01/2019","164.60","2019-01-02"
"Telangana","SR","18.112400","79.019300","02/01/2019","204.20","2019-01-02"
"Karnataka","SR","12.570381","76.919997","02/01/2019","206.30","2019-01-02"
"Kerala","SR","8.900373","76.569993","02/01/2019","72.70","2019-01-02"
"Tamil Nadu","SR","12.920386","79.150042","02/01/2019","268.30","2019-01-02"
"Pondy","SR","11.934994","79.830000","02/01/2019","6.30","2019-01-02"
"Bihar","ER","25.785414","87.479973","02/01/2019","82.30","2019-01-02"
"Jharkhand","ER","23.800393","86.419986","02/01/2019","24.80","2019-01-02"
"Odisha","ER","19.820430","85.900017","02/01/2019","70.20","2019-01-02"
"West Bengal","ER","22.580390","88.329947","02/01/2019","108.20","2019-01-02"
"Sikkim","ER","27.333330","88.616648","02/01/2019","2.00","2019-01-02"
"Arunachal Pradesh","NER","27.100399","93.616601","02/01/2019","2.10","2019-01-02"
"Assam","NER","26.749981","94.216667","02/01/2019","21.70","2019-01-02"
"Manipur","NER","24.799971","93.950017","02/01/2019","2.70","2019-01-02"
"Meghalaya","NER","25.570492","91.880014","02/01/2019","6.10","2019-01-02"
"Mizoram","NER","23.710399","92.720015","02/01/2019","1.90","2019-01-02"
"Nagaland","NER","25.666998","94.116570","02/01/2019","2.20","2019-01-02"
"Tripura","NER","23.835404","91.279999","02/01/2019","3.40","2019-01-02"
"Punjab","NR","31.519974","75.980003","03/01/2019","121.90","2019-01-03"
"Haryana","NR","28.450006","77.019991","03/01/2019","133.50","2019-01-03"
"Rajasthan","NR","26.449999","74.639981","03/01/2019","240.20","2019-01-03"
"Delhi","NR","28.669993","77.230004","03/01/2019","85.50","2019-01-03"
"UP","NR","27.599981","78.050006","03/01/2019","311.80","2019-01-03"
"Uttarakhand","NR","30.320409","78.050006","03/01/2019","39.30","2019-01-03"
"HP","NR","31.100025","77.166597","03/01/2019","30.10","2019-01-03"
"J&K","NR","33.450000","76.240000","03/01/2019","54.10","2019-01-03"
"Chandigarh","NR","30.719997","76.780006","03/01/2019","4.90","2019-01-03"
"Chhattisgarh","WR","22.090420","82.159987","03/01/2019","78.80","2019-01-03"
"Gujarat","WR","22.258700","71.192400","03/01/2019","316.70","2019-01-03"
"MP","WR","21.300391","76.130019","03/01/2019","253.60","2019-01-03"
"Maharashtra","WR","19.250232","73.160175","03/01/2019","419.60","2019-01-03"
"Goa","WR","15.491997","73.818001","03/01/2019","13.70","2019-01-03"
"DNH","WR","20.266578","73.016618","03/01/2019","18.20","2019-01-03"
"Andhra Pradesh","SR","14.750429","78.570026","03/01/2019","170.10","2019-01-03"
"Telangana","SR","18.112400","79.019300","03/01/2019","204.50","2019-01-03"
"Karnataka","SR","12.570381","76.919997","03/01/2019","212.20","2019-01-03"
"Kerala","SR","8.900373","76.569993","03/01/2019","73.60","2019-01-03"
"Tamil Nadu","SR","12.920386","79.150042","03/01/2019","285.20","2019-01-03"
"Pondy","SR","11.934994","79.830000","03/01/2019","6.50","2019-01-03"
"Bihar","ER","25.785414","87.479973","03/01/2019","82.00","2019-01-03"
"Jharkhand","ER","23.800393","86.419986","03/01/2019","25.60","2019-01-03"
"Odisha","ER","19.820430","85.900017","03/01/2019","67.90","2019-01-03"
"West Bengal","ER","22.580390","88.329947","03/01/2019","110.20","2019-01-03"
"Sikkim","ER","27.333330","88.616648","03/01/2019","1.90","2019-01-03"
"Arunachal Pradesh","NER","27.100399","93.616601","03/01/2019","2.20","2019-01-03"
"Assam","NER","26.749981","94.216667","03/01/2019","23.40","2019-01-03"
"Manipur","NER","24.799971","93.950017","03/01/2019","2.40","2019-01-03"
"Meghalaya","NER","25.570492","91.880014","03/01/2019","6.50","2019-01-03"
"Mizoram","NER","23.710399","92.720015","03/01/2019","1.80","2019-01-03"
"Nagaland","NER","25.666998","94.116570","03/01/2019","2.20","2019-01-03"
"Tripura","NER","23.835404","91.279999","03/01/2019","3.60","2019-01-03"
"Punjab","NR","31.519974","75.980003","04/01/2019","118.80","2019-01-04"
"Haryana","NR","28.450006","77.019991","04/01/2019","128.20","2019-01-04"
"Rajasthan","NR","26.449999","74.639981","04/01/2019","239.80","2019-01-04"
"Delhi","NR","28.669993","77.230004","04/01/2019","83.50","2019-01-04"
"UP","NR","27.599981","78.050006","04/01/2019","320.70","2019-01-04"
"Uttarakhand","NR","30.320409","78.050006","04/01/2019","38.10","2019-01-04"
"HP","NR","31.100025","77.166597","04/01/2019","30.10","2019-01-04"
"J&K","NR","33.450000","76.240000","04/01/2019","53.20","2019-01-04"
"Chandigarh","NR","30.719997","76.780006","04/01/2019","4.80","2019-01-04"
"Chhattisgarh","WR","22.090420","82.159987","04/01/2019","74.80","2019-01-04"
"Gujarat","WR","22.258700","71.192400","04/01/2019","301.90","2019-01-04"
"MP","WR","21.300391","76.130019","04/01/2019","239.30","2019-01-04"
"Maharashtra","WR","19.250232","73.160175","04/01/2019","395.80","2019-01-04"
"Goa","WR","15.491997","73.818001","04/01/2019","12.60","2019-01-04"
"DNH","WR","20.266578","73.016618","04/01/2019","16.70","2019-01-04"
"Andhra Pradesh","SR","14.750429","78.570026","04/01/2019","165.20","2019-01-04"
"Telangana","SR","18.112400","79.019300","04/01/2019","201.20","2019-01-04"
"Karnataka","SR","12.570381","76.919997","04/01/2019","205.30","2019-01-04"
"Kerala","SR","8.900373","76.569993","04/01/2019","73.40","2019-01-04"
"Tamil Nadu","SR","12.920386","79.150042","04/01/2019","270.30","2019-01-04"
"Pondy","SR","11.934994","79.830000","04/01/2019","6.40","2019-01-04"
"Bihar","ER","25.785414","87.479973","04/01/2019","82.90","2019-01-04"
"Jharkhand","ER","23.800393","86.419986","04/01/2019","26.30","2019-01-04"
"Odisha","ER","19.820430","85.900017","04/01/2019","66.30","2019-01-04"
"West Bengal","ER","22.580390","88.329947","04/01/2019","106.80","2019-01-04"
"Sikkim","ER","27.333330","88.616648","04/01/2019","1.70","2019-01-04"
"Arunachal Pradesh","NER","27.100399","93.616601","04/01/2019","2.20","2019-01-04"
"Assam","NER","26.749981","94.216667","04/01/2019","21.70","2019-01-04"
"Manipur","NER","24.799971","93.950017","04/01/2019","2.40","2019-01-04"
"Meghalaya","NER","25.570492","91.880014","04/01/2019","6.30","2019-01-04"
"Mizoram","NER","23.710399","92.720015","04/01/2019","1.70","2019-01-04"
"Nagaland","NER","25.666998","94.116570","04/01/2019","2.20","2019-01-04"
"Tripura","NER","23.835404","91.279999","04/01/2019","3.50","2019-01-04"
"Punjab","NR","31.519974","75.980003","05/01/2019","121.00","2019-01-05"
"Haryana","NR","28.450006","77.019991","05/01/2019","127.50","2019-01-05"
"Rajasthan","NR","26.449999","74.639981","05/01/2019","239.10","2019-01-05"
"Delhi","NR","28.669993","77.230004","05/01/2019","79.20","2019-01-05"
"UP","NR","27.599981","78.050006","05/01/2019","299.00","2019-01-05"
"Uttarakhand","NR","30.320409","78.050006","05/01/2019","39.20","2019-01-05"
